id,name,SCOM,CC,LSCC,CAMC
10749,RunChecks,1.000,1.000,0.000,1.000
245780,$anon,1.000,1.000,0.000,1.000
293016,ResponseAsset,1.000,1.000,1.000,1.000
10548,SharesField,1.000,1.000,1.000,1.000
9558,Security,1.000,1.000,1.000,1.000
10012,TwitterFrontend,0.000,0.000,0.000,0.667
9505,ShortThrowableRenderer,1.000,1.000,0.000,1.000
10459,Direction,1.000,1.000,1.000,1.000
169117,AutoTradeSubmit,1.000,1.000,1.000,1.000
10070,LoginManager,0.000,0.000,0.000,0.333
10162,AggregateField,1.000,1.000,0.000,1.000
9679,UserSchema,0.000,0.000,0.000,1.000
10612,OutgoingOffers,0.000,0.000,0.000,1.000
9623,Dollars,1.000,1.000,1.000,0.146
39042,User,1.000,1.000,1.000,1.000
10544,DollarsField,1.000,1.000,0.000,1.000
9612,Refresh,1.000,1.000,0.000,1.000
10193,Form,1.000,1.000,1.000,1.000
10303,FieldErrorRender,1.000,1.000,1.000,1.000
108737,ResponseOption,1.000,1.000,1.000,1.000
9481,Email_bg,0.000,0.000,0.000,0.667
10046,insertTestData,1.000,1.000,0.000,1.000
9721,GetPortfolio,1.000,1.000,0.000,1.000
9669,StockSchema,1.000,1.000,1.000,1.000
39048,Ownership,1.000,1.000,1.000,1.000
147231,$anon,1.000,1.000,0.000,1.000
10972,MyPage,1.000,1.000,0.000,1.000
9629,Price,1.000,1.000,1.000,0.238
10453,Recipient,1.000,1.000,1.000,1.000
9811,CachedStockDatabase,0.550,0.500,0.350,0.400
39181,DerivativeBuyerSetAside,1.000,1.000,1.000,1.000
9943,TransactionResponse,1.000,1.000,1.000,1.000
246458,$anon,1.000,1.000,1.000,1.000
9796,BatchingStockDatabase,0.056,0.167,0.056,0.250
293013,Response,1.000,1.000,1.000,1.000
145421,_currentLogin,1.000,1.000,1.000,1.000
9993,TextTrader,1.000,1.000,1.000,1.000
10309,AggregateRender,1.000,1.000,1.000,1.000
10305,FormOuter,1.000,1.000,1.000,1.000
10454,SpecificUser,1.000,1.000,1.000,1.000
11044,FormattedDerivative,1.000,1.000,1.000,1.000
157406,$anon,1.000,1.000,1.000,1.000
10871,NoOrder,1.000,1.000,1.000,1.000
9874,StockDatabase,1.000,1.000,1.000,1.000
9921,Buy,1.000,1.000,1.000,1.000
246941,$anon,1.000,1.000,0.000,1.000
10392,ClearDatabase,1.000,1.000,0.000,1.000
9701,BuyServlet,1.000,1.000,0.000,1.000
39167,UserWithComments,0.000,0.000,0.000,1.000
39203,AutoTrade,1.000,1.000,1.000,1.000
10246,StringField,1.000,1.000,0.000,1.000
10163,CaseField,0.667,0.500,0.333,1.000
9604,Link,0.833,0.667,0.500,0.333
10253,ConstField,0.000,0.000,0.000,1.000
265398,HaveCommand,1.000,1.000,1.000,1.000
9889,YahooCSVStockDatabase,0.000,0.000,0.000,0.500
10492,dividendChart,1.000,1.000,0.000,1.000
10033,DBSetup,1.000,1.000,0.000,1.000
10250,IntField,1.000,1.000,1.000,1.000
39168,NewsEventWithComments,0.000,0.000,0.000,0.333
9930,StockAsset,1.000,1.000,1.000,1.000
11020,BigDecimalFormatted,1.000,1.000,1.000,1.000
10211,BadInput,1.000,1.000,1.000,1.000
39137,Declined,1.000,1.000,1.000,1.000
9763,StockUpdates,1.000,1.000,1.000,1.000
